,AnswerText,SurveyID,UserID,QuestionID
1260,Female,2014,1,2
1261,Male,2014,2,2
1262,Male,2014,3,2
1263,Male,2014,4,2
1264,Male,2014,5,2
1265,Male,2014,6,2
1266,Female,2014,7,2
1267,Male,2014,8,2
1268,Female,2014,9,2
1269,Male,2014,10,2
1270,Male,2014,11,2
1271,Male,2014,12,2
1272,Female,2014,13,2
1273,Male,2014,14,2
1274,Male,2014,15,2
1275,Female,2014,16,2
1276,Male,2014,17,2
1277,Male,2014,18,2
1278,Male,2014,19,2
1279,Male,2014,20,2
1280,Male,2014,21,2
1281,Male,2014,22,2
1282,Male,2014,23,2
1283,Male,2014,24,2
1284,Male,2014,25,2
1285,Male,2014,26,2
1286,Male,2014,27,2
1287,Female,2014,28,2
1288,Male,2014,29,2
1289,Male,2014,30,2
1290,Male,2014,31,2
1291,Male,2014,32,2
1292,Male,2014,33,2
1293,Male,2014,34,2
1294,Female,2014,35,2
1295,Male,2014,36,2
1296,Male,2014,37,2
1297,Male,2014,38,2
1298,Male,2014,39,2
1299,Male,2014,40,2
1300,Male,2014,41,2
1301,Male,2014,42,2
1302,Male,2014,43,2
1303,Male,2014,44,2
1304,Male,2014,45,2
1305,Female,2014,46,2
1306,Male,2014,47,2
1307,Male,2014,48,2
1308,Male,2014,49,2
1309,Male,2014,50,2
1310,Male,2014,51,2
1311,Male,2014,52,2
1312,Male,2014,53,2
1313,Male,2014,54,2
1314,Male,2014,55,2
1315,Male-ish,2014,56,2
1316,Male,2014,57,2
1317,Male,2014,58,2
1318,Male,2014,59,2
1319,Male,2014,60,2
1320,Male,2014,61,2
1321,Female,2014,62,2
1322,Male,2014,63,2
1323,Male,2014,64,2
1324,Male,2014,65,2
1325,Male,2014,66,2
1326,Female,2014,67,2
1327,Male,2014,68,2
1328,Female,2014,69,2
1329,Male,2014,70,2
1330,Male,2014,71,2
1331,Male,2014,72,2
1332,Trans-female,2014,73,2
1333,Male,2014,74,2
1334,Male,2014,75,2
1335,Male,2014,76,2
1336,Male,2014,77,2
1337,Male,2014,78,2
1338,Male,2014,79,2
1339,Male,2014,80,2
1340,Male,2014,81,2
1341,Male,2014,82,2
1342,Male,2014,83,2
1343,Female,2014,84,2
1344,Male,2014,85,2
1345,Male,2014,86,2
1346,Male,2014,87,2
1347,Female,2014,88,2
1348,Female,2014,89,2
1349,Male,2014,90,2
1350,Male,2014,91,2
1351,Male,2014,92,2
1352,Male,2014,93,2
1353,something kinda male?,2014,94,2
1354,Female,2014,95,2
1355,Male,2014,96,2
1356,Male,2014,97,2
1357,Male,2014,98,2
1358,Male,2014,99,2
1359,Male,2014,100,2
1360,Female,2014,101,2
1361,Female,2014,102,2
1362,Male,2014,103,2
1363,Male,2014,104,2
1364,Male,2014,105,2
1365,Male,2014,106,2
1366,Male,2014,107,2
1367,Male,2014,108,2
1368,Male,2014,109,2
1369,Male,2014,110,2
1370,Male,2014,111,2
1371,Male,2014,112,2
1372,Male,2014,113,2
1373,Male,2014,114,2
1374,Male,2014,115,2
1375,Male,2014,116,2
1376,Male,2014,117,2
1377,Male,2014,118,2
1378,Male,2014,119,2
1379,Male,2014,120,2
1380,Male,2014,121,2
1381,Male,2014,122,2
1382,Male,2014,123,2
1383,Male,2014,124,2
1384,Male,2014,125,2
1385,Male,2014,126,2
1386,Male,2014,127,2
1387,Male,2014,128,2
1388,Male,2014,129,2
1389,Male,2014,130,2
1390,Male,2014,131,2
1391,Male,2014,132,2
1392,Male,2014,133,2
1393,Male,2014,134,2
1394,Male,2014,135,2
1395,Male,2014,136,2
1396,Male,2014,137,2
