AnswerText,SurveyID,UserID,QuestionID,question name,question ID
Female,2014,1,2,What is your gender?,2
Male,2014,2,2,Are you self-employed?,5
Male,2014,3,2,Do you have a family history of mental illness?,6
Male,2014,4,2,Is you employer primarily a tech company/organization?,9
Male,2014,5,2,Is your primary role within your company related to tech/IT?,13
Male,2014,6,2,Do you work remotely?,118
Female,2014,7,2,,
Male,2014,8,2,,
Female,2014,9,2,,
Male,2014,10,2,,
Male,2014,11,2,,
Male,2014,12,2,,
Female,2014,13,2,,
Male,2014,14,2,,
Male,2014,15,2,,
Female,2014,16,2,,
Male,2014,17,2,,
Male,2014,18,2,,
Male,2014,19,2,,
Male,2014,20,2,,
Male,2014,21,2,,
Male,2014,22,2,,
Male,2014,23,2,,
Male,2014,24,2,,
Male,2014,25,2,,
Male,2014,26,2,,
Male,2014,27,2,,
Female,2014,28,2,,
Male,2014,29,2,,
Male,2014,30,2,,
Male,2014,31,2,,
Male,2014,32,2,,
Male,2014,33,2,,
Male,2014,34,2,,
Female,2014,35,2,,
Male,2014,36,2,,
Male,2014,37,2,,
Male,2014,38,2,,
Male,2014,39,2,,
Male,2014,40,2,,
Male,2014,41,2,,
Male,2014,42,2,,
Male,2014,43,2,,
Male,2014,44,2,,
Male,2014,45,2,,
Female,2014,46,2,,
Male,2014,47,2,,
Male,2014,48,2,,
Male,2014,49,2,,
Male,2014,50,2,,
Male,2014,51,2,,
Male,2014,52,2,,
Male,2014,53,2,,
Male,2014,54,2,,
Male,2014,55,2,,
Male-ish,2014,56,2,,
Male,2014,57,2,,
Male,2014,58,2,,
Male,2014,59,2,,
Male,2014,60,2,,
Male,2014,61,2,,
Female,2014,62,2,,
Male,2014,63,2,,
Male,2014,64,2,,
Male,2014,65,2,,
Male,2014,66,2,,
Female,2014,67,2,,
Male,2014,68,2,,
Female,2014,69,2,,
Male,2014,70,2,,
Male,2014,71,2,,
Male,2014,72,2,,
Trans-female,2014,73,2,,
Male,2014,74,2,,
Male,2014,75,2,,
Male,2014,76,2,,
Male,2014,77,2,,
Male,2014,78,2,,
Male,2014,79,2,,
Male,2014,80,2,,
Male,2014,81,2,,
Male,2014,82,2,,
Male,2014,83,2,,
Female,2014,84,2,,
Male,2014,85,2,,
Male,2014,86,2,,
Male,2014,87,2,,
Female,2014,88,2,,
Female,2014,89,2,,
Male,2014,90,2,,
Male,2014,91,2,,
Male,2014,92,2,,
Male,2014,93,2,,
something kinda male?,2014,94,2,,
Female,2014,95,2,,
Male,2014,96,2,,
Male,2014,97,2,,
Male,2014,98,2,,
Male,2014,99,2,,
Male,2014,100,2,,
Female,2014,101,2,,
Female,2014,102,2,,
Male,2014,103,2,,
Male,2014,104,2,,
Male,2014,105,2,,
Male,2014,106,2,,
Male,2014,107,2,,
Male,2014,108,2,,
Male,2014,109,2,,
Male,2014,110,2,,
Male,2014,111,2,,
Male,2014,112,2,,
Male,2014,113,2,,
Male,2014,114,2,,
Male,2014,115,2,,
Male,2014,116,2,,
Male,2014,117,2,,
Male,2014,118,2,,
Male,2014,119,2,,
Male,2014,120,2,,
Male,2014,121,2,,
Male,2014,122,2,,
Male,2014,123,2,,
Male,2014,124,2,,
Male,2014,125,2,,
Male,2014,126,2,,
Male,2014,127,2,,
Male,2014,128,2,,
Male,2014,129,2,,
Male,2014,130,2,,
Male,2014,131,2,,
Male,2014,132,2,,
Male,2014,133,2,,
Male,2014,134,2,,
Male,2014,135,2,,
Male,2014,136,2,,
Male,2014,137,2,,
Male,2014,138,2,,
Female,2014,139,2,,
Male,2014,140,2,,
Male,2014,141,2,,
Male,2014,142,2,,
Male,2014,143,2,,
Male,2014,144,2,,
Female,2014,145,2,,
Male,2014,146,2,,
Male,2014,147,2,,
Male,2014,148,2,,
Male,2014,149,2,,
Female,2014,150,2,,
Male,2014,151,2,,
Male,2014,152,2,,
Male,2014,153,2,,
Male,2014,154,2,,
Male,2014,155,2,,
Male,2014,156,2,,
Male,2014,157,2,,
Male,2014,158,2,,
Male,2014,159,2,,
Male,2014,160,2,,
Male,2014,161,2,,
Female,2014,162,2,,
Male,2014,163,2,,
Male,2014,164,2,,
Female,2014,165,2,,
Female,2014,166,2,,
Male,2014,167,2,,
Male,2014,168,2,,
Male,2014,169,2,,
Male,2014,170,2,,
Male,2014,171,2,,
Male,2014,172,2,,
Male,2014,173,2,,
Female,2014,174,2,,
Female,2014,175,2,,
Male,2014,176,2,,
Male,2014,177,2,,
Female,2014,178,2,,
Female,2014,179,2,,
Male,2014,180,2,,
Male,2014,181,2,,
Female,2014,182,2,,
Female,2014,183,2,,
Male,2014,184,2,,
Male,2014,185,2,,
Male,2014,186,2,,
Male,2014,187,2,,
Male,2014,188,2,,
Male,2014,189,2,,
Female,2014,190,2,,
Female,2014,191,2,,
Male,2014,192,2,,
Male,2014,193,2,,
Male,2014,194,2,,
Female,2014,195,2,,
Male,2014,196,2,,
Female,2014,197,2,,
Male,2014,198,2,,
Male,2014,199,2,,
Male,2014,200,2,,
Female,2014,201,2,,
Female,2014,202,2,,
Male,2014,203,2,,
Male,2014,204,2,,
Male,2014,205,2,,
Male,2014,206,2,,
Male,2014,207,2,,
Male,2014,208,2,,
Male,2014,209,2,,
Male,2014,210,2,,
Female,2014,211,2,,
Male,2014,212,2,,
Male,2014,213,2,,
Female,2014,214,2,,
Female,2014,215,2,,
Female,2014,216,2,,
Male,2014,217,2,,
Male,2014,218,2,,
